"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"14.7","high","4 yr.","mnwk","no","no","5","Female","LPM","age_grp55-64",2.05615760323831e-05,1.03628485615593e-06,19.8416255050331,1.30201159461112e-87,NA,NA,249294627
"14.8","high","4 yr.","mnwk","no","no","5","Female","LPM","age_grp65-199",1.84914563434049e-05,1.06331827704498e-06,17.3903305742037,9.76783159346442e-68,NA,NA,249294627
"14.9","high","4 yr.","mnwk","no","no","5","Female","LPM","curr_pts_grp1-3",6.92233263818455e-06,5.18392147052978e-07,13.3534674040444,1.13064826701975e-40,NA,NA,249294627
"14.10","high","4 yr.","mnwk","no","no","5","Female","LPM","curr_pts_grp4-6",9.84927737092394e-06,7.08429266535347e-07,13.902979219214,6.07610354878891e-44,NA,NA,249294627
"14.11","high","4 yr.","mnwk","no","no","5","Female","LPM","curr_pts_grp7-9",1.81541246761715e-05,1.21210692718224e-06,14.9773293667861,1.03289935848859e-50,NA,NA,249294627
"14.12","high","4 yr.","mnwk","no","no","5","Female","LPM","curr_pts_grp10-150",4.26479413872049e-05,2.51291858958171e-06,16.9714775337405,1.33540841375375e-64,NA,NA,249294627
"14.13","high","4 yr.","mnwk","no","no","5","Female","LPM","month02",1.03877234908415e-06,1.04704415872318e-06,0.992099846439031,0.321148822410426,NA,NA,249294627
"14.14","high","4 yr.","mnwk","no","no","5","Female","LPM","month03",8.43258625632526e-07,1.0140411547032e-06,0.831582250603371,0.405644784955141,NA,NA,249294627
"14.15","high","4 yr.","mnwk","no","no","5","Female","LPM","month04",2.80257461846892e-06,1.08473859221392e-06,2.58364055504741,0.00977636286075874,NA,NA,249294627
"14.16","high","4 yr.","mnwk","no","no","5","Female","LPM","month05",3.36146782682139e-06,1.0840682521945e-06,3.10078984419727,0.00193005239865651,NA,NA,249294627
"14.17","high","4 yr.","mnwk","no","no","5","Female","LPM","month06",5.45748156766858e-06,1.13929838443357e-06,4.79021268022066,1.66604724401986e-06,NA,NA,249294627
"14.18","high","4 yr.","mnwk","no","no","5","Female","LPM","month07",6.57111473849998e-06,1.14912029068416e-06,5.71838717997721,1.07540003721358e-08,NA,NA,249294627
"14.19","high","4 yr.","mnwk","no","no","5","Female","LPM","month08",4.8771829295668e-06,1.11264962154459e-06,4.38339512738634,1.16843956902329e-05,NA,NA,249294627
"14.20","high","4 yr.","mnwk","no","no","5","Female","LPM","month09",8.3844415662926e-06,1.19559585682902e-06,7.0127723497888,2.33642039674595e-12,NA,NA,249294627
"14.21","high","4 yr.","mnwk","no","no","5","Female","LPM","month10",7.82243994317241e-06,1.16978320520782e-06,6.68708518668012,2.27659848713408e-11,NA,NA,249294627
"14.22","high","4 yr.","mnwk","no","no","5","Female","LPM","month11",4.9222918134421e-06,1.12039732474335e-06,4.39334484716809,1.11619904219694e-05,NA,NA,249294627
"14.23","high","4 yr.","mnwk","no","no","5","Female","LPM","month12",-3.57580553497606e-06,9.11003101795675e-07,-3.92512992318885,8.66829632442469e-05,NA,NA,249294627
"14.24","high","4 yr.","mnwk","no","no","5","Female","LPM","weekdayMonday",-2.62217818722382e-07,9.18913175738517e-07,-0.285356468538653,0.775371054919174,NA,NA,249294627
"14.25","high","4 yr.","mnwk","no","no","5","Female","LPM","weekdayTuesday",-1.56010174554138e-06,8.97813619805098e-07,-1.73766771981033,0.0822693809885747,NA,NA,249294627
"14.26","high","4 yr.","mnwk","no","no","5","Female","LPM","weekdayWednesday",-9.94849118011254e-07,9.06290179452454e-07,-1.09771587573894,0.272328576261407,NA,NA,249294627
"14.27","high","4 yr.","mnwk","no","no","5","Female","LPM","weekdayThursday",-1.68291460898977e-06,8.97997506917776e-07,-1.87407492339939,0.0609201002651418,NA,NA,249294627
"14.28","high","4 yr.","mnwk","no","no","5","Female","LPM","weekdayFriday",-7.24991829210987e-07,9.12759201894869e-07,-0.794285971268127,0.427028969872665,NA,NA,249294627
"14.29","high","4 yr.","mnwk","no","no","5","Female","LPM","weekdaySaturday",-1.14108128580579e-06,9.04969331013528e-07,-1.26090602929917,0.207342706840663,NA,NA,249294627
"15","high","4 yr.","mnwk","no","no","7","Female","LPM","(Intercept)",1.9497145200078e-07,3.99237618566435e-07,0.488359420389478,0.625295280210678,NA,NA,249294627
"15.1","high","4 yr.","mnwk","no","no","7","Female","LPM","policyTRUE",-2.02023724963858e-06,1.51215269546849e-07,-13.3600082563928,1.03556006551952e-40,NA,NA,249294627
"15.2","high","4 yr.","mnwk","no","no","7","Female","LPM","age_grp16-19",1.38290563120285e-05,2.50734117170353e-06,5.51542664719728,3.47935187414957e-08,NA,NA,249294627
"15.3","high","4 yr.","mnwk","no","no","7","Female","LPM","age_grp20-24",4.49979403842997e-06,4.92853191982156e-07,9.1300900788178,6.84428108170974e-20,NA,NA,249294627
"15.4","high","4 yr.","mnwk","no","no","7","Female","LPM","age_grp25-34",2.29937112314269e-06,2.98711389467235e-07,7.69763458716363,1.38608572450913e-14,NA,NA,249294627
"15.5","high","4 yr.","mnwk","no","no","7","Female","LPM","age_grp35-44",1.33746564535683e-06,2.72819038940635e-07,4.90239116210601,9.46771321596807e-07,NA,NA,249294627
"15.6","high","4 yr.","mnwk","no","no","7","Female","LPM","age_grp45-54",1.20261160317987e-06,2.69186588464519e-07,4.46757622673458,7.91108604380003e-06,NA,NA,249294627
"15.7","high","4 yr.","mnwk","no","no","7","Female","LPM","age_grp55-64",9.81856901700335e-07,2.84291581156972e-07,3.45369672117797,0.000552958934069672,NA,NA,249294627
"15.8","high","4 yr.","mnwk","no","no","7","Female","LPM","age_grp65-199",1.01500016886831e-06,3.16566640743323e-07,3.20627646199553,0.00134464749876136,NA,NA,249294627
"15.9","high","4 yr.","mnwk","no","no","7","Female","LPM","curr_pts_grp1-3",-1.35678816205898e-07,1.65754236721833e-07,-0.81855413707218,0.413040843484172,NA,NA,249294627
"15.10","high","4 yr.","mnwk","no","no","7","Female","LPM","curr_pts_grp4-6",1.5825125462494e-07,2.29362539220238e-07,0.689961207976448,0.490218583197861,NA,NA,249294627
"15.11","high","4 yr.","mnwk","no","no","7","Female","LPM","curr_pts_grp7-9",3.47022288362966e-07,3.50932220578498e-07,0.988858440501454,0.32273240752626,NA,NA,249294627
"15.12","high","4 yr.","mnwk","no","no","7","Female","LPM","curr_pts_grp10-150",6.00968939208442e-06,9.66977734199903e-07,6.21492013676712,5.13508412793807e-10,NA,NA,249294627
"15.13","high","4 yr.","mnwk","no","no","7","Female","LPM","month02",6.34061136536346e-07,3.2700052433474e-07,1.93902177321061,0.0524986880994052,NA,NA,249294627
"15.14","high","4 yr.","mnwk","no","no","7","Female","LPM","month03",2.8708373102583e-07,2.89418655894731e-07,0.991932362267102,0.321230522044303,NA,NA,249294627
"15.15","high","4 yr.","mnwk","no","no","7","Female","LPM","month04",4.88206126541072e-07,3.14153817065539e-07,1.55403531652528,0.120175993987242,NA,NA,249294627
"15.16","high","4 yr.","mnwk","no","no","7","Female","LPM","month05",7.44887971754897e-07,3.28834877200346e-07,2.26523408373458,0.0234983194598191,NA,NA,249294627
"15.17","high","4 yr.","mnwk","no","no","7","Female","LPM","month06",1.62222299326039e-06,3.91485922429664e-07,4.14375817958524,3.41660133399878e-05,NA,NA,249294627
"15.18","high","4 yr.","mnwk","no","no","7","Female","LPM","month07",1.12615675949077e-06,3.54302859193179e-07,3.17851445527495,0.00148031854637915,NA,NA,249294627
"15.19","high","4 yr.","mnwk","no","no","7","Female","LPM","month08",8.39521816826617e-07,3.34323429313898e-07,2.51110674040851,0.0120353305784594,NA,NA,249294627
"15.20","high","4 yr.","mnwk","no","no","7","Female","LPM","month09",1.23025278769576e-06,3.64746157770646e-07,3.37290129446503,0.000743806228116354,NA,NA,249294627
"15.21","high","4 yr.","mnwk","no","no","7","Female","LPM","month10",9.39962091430899e-07,3.39757898501852e-07,2.76656435531189,0.00566504064060876,NA,NA,249294627
"15.22","high","4 yr.","mnwk","no","no","7","Female","LPM","month11",1.32638149590733e-06,3.70387009561159e-07,3.5810691564989,0.000342191121305798,NA,NA,249294627
"15.23","high","4 yr.","mnwk","no","no","7","Female","LPM","month12",-6.21333258884895e-08,2.62069043657033e-07,-0.23708762019906,0.812588816449811,NA,NA,249294627
"15.24","high","4 yr.","mnwk","no","no","7","Female","LPM","weekdayMonday",-3.09844842770862e-07,3.28224022637459e-07,-0.944004159966991,0.345167523396024,NA,NA,249294627
"15.25","high","4 yr.","mnwk","no","no","7","Female","LPM","weekdayTuesday",-7.42645843469829e-07,3.08617908890967e-07,-2.40636016924151,0.0161123716000777,NA,NA,249294627
"15.26","high","4 yr.","mnwk","no","no","7","Female","LPM","weekdayWednesday",-8.80780724454654e-07,3.02190045668003e-07,-2.91465829891138,0.00356078205494577,NA,NA,249294627
"15.27","high","4 yr.","mnwk","no","no","7","Female","LPM","weekdayThursday",-1.05969048149907e-06,2.94704181802146e-07,-3.59577687367365,0.00032342499267228,NA,NA,249294627
"15.28","high","4 yr.","mnwk","no","no","7","Female","LPM","weekdayFriday",-5.54984486468385e-07,3.17984809545239e-07,-1.74531760577521,0.0809296002132616,NA,NA,249294627
"15.29","high","4 yr.","mnwk","no","no","7","Female","LPM","weekdaySaturday",-2.47991626579473e-07,3.30778430161197e-07,-0.749721275533656,0.453422591746337,NA,NA,249294627
"16","high","4 yr.","mnwk","no","no","9+","Female","LPM","(Intercept)",-4.67621046867399e-07,5.60938852107453e-07,-0.833639968261322,0.40448389676057,NA,NA,249294627
"16.1","high","4 yr.","mnwk","no","no","9+","Female","LPM","policyTRUE",-2.56776866573179e-06,2.02130302089664e-07,-12.7035315298383,5.65219209656898e-37,NA,NA,249294627
"16.2","high","4 yr.","mnwk","no","no","9+","Female","LPM","age_grp16-19",1.906174115135e-05,2.91530290066555e-06,6.53851136600532,6.21342833666725e-11,NA,NA,249294627
"16.3","high","4 yr.","mnwk","no","no","9+","Female","LPM","age_grp20-24",5.0091599841472e-06,5.27091256486078e-07,9.50340177816913,2.03145040365396e-21,NA,NA,249294627
"16.4","high","4 yr.","mnwk","no","no","9+","Female","LPM","age_grp25-34",3.77824246222552e-06,3.9771828427671e-07,9.49979573882713,2.10304162901649e-21,NA,NA,249294627
"16.5","high","4 yr.","mnwk","no","no","9+","Female","LPM","age_grp35-44",3.66403724256956e-06,3.94901793867035e-07,9.27835046452905,1.72123845743676e-20,NA,NA,249294627
"16.6","high","4 yr.","mnwk","no","no","9+","Female","LPM","age_grp45-54",3.22983877439225e-06,3.96667124036666e-07,8.14244130323667,3.87388075593852e-16,NA,NA,249294627
"16.7","high","4 yr.","mnwk","no","no","9+","Female","LPM","age_grp55-64",3.45141456484014e-06,4.53034396637612e-07,7.61843822556584,2.56764211691793e-14,NA,NA,249294627
"16.8","high","4 yr.","mnwk","no","no","9+","Female","LPM","age_grp65-199",3.76672983881824e-06,5.70731703894638e-07,6.59982582553993,4.11641926926622e-11,NA,NA,249294627
"16.9","high","4 yr.","mnwk","no","no","9+","Female","LPM","curr_pts_grp1-3",-1.44698572915829e-06,2.09860884288827e-07,-6.89497585060608,5.38740816185523e-12,NA,NA,249294627
"16.10","high","4 yr.","mnwk","no","no","9+","Female","LPM","curr_pts_grp4-6",-4.49964785128707e-07,2.94298491558452e-07,-1.52894016801081,0.126279278483543,NA,NA,249294627
"16.11","high","4 yr.","mnwk","no","no","9+","Female","LPM","curr_pts_grp7-9",1.22102578081106e-06,4.930522237906e-07,2.47646338844956,0.013269123987836,NA,NA,249294627
"16.12","high","4 yr.","mnwk","no","no","9+","Female","LPM","curr_pts_grp10-150",6.25451700080344e-06,1.06258646242633e-06,5.88612524436061,3.95355262315166e-09,NA,NA,249294627
"16.13","high","4 yr.","mnwk","no","no","9+","Female","LPM","month02",5.63804224422832e-08,4.7479023308241e-07,0.118748067070068,0.905474954014123,NA,NA,249294627
"16.14","high","4 yr.","mnwk","no","no","9+","Female","LPM","month03",-1.69103339653542e-07,4.49921398370019e-07,-0.375850849206488,0.707027782767765,NA,NA,249294627
"16.15","high","4 yr.","mnwk","no","no","9+","Female","LPM","month04",9.49894903367101e-07,5.14858489017633e-07,1.84496307942699,0.0650429107169086,NA,NA,249294627
"16.16","high","4 yr.","mnwk","no","no","9+","Female","LPM","month05",8.33756996855706e-07,5.03713838299868e-07,1.65521955813205,0.0978799705746353,NA,NA,249294627
"16.17","high","4 yr.","mnwk","no","no","9+","Female","LPM","month06",8.35985811956356e-07,5.08229932094623e-07,1.64489684523483,0.0999910868869872,NA,NA,249294627
"16.18","high","4 yr.","mnwk","no","no","9+","Female","LPM","month07",-3.51282393552702e-07,4.4302649707876e-07,-0.792915087176495,0.427827297321011,NA,NA,249294627
"16.19","high","4 yr.","mnwk","no","no","9+","Female","LPM","month08",-1.21339281806539e-07,4.55088700001327e-07,-0.266627762469571,0.789755778070628,NA,NA,249294627
"16.20","high","4 yr.","mnwk","no","no","9+","Female","LPM","month09",2.48697811339732e-07,4.77343614246842e-07,0.521003746393739,0.602364162012977,NA,NA,249294627
"16.21","high","4 yr.","mnwk","no","no","9+","Female","LPM","month10",4.35979494650353e-07,4.82770315514448e-07,0.90307850470418,0.366484232233507,NA,NA,249294627
"16.22","high","4 yr.","mnwk","no","no","9+","Female","LPM","month11",4.69181682719319e-07,4.88672652435201e-07,0.96011446595435,0.336997609610813,NA,NA,249294627
