"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"57.28","all","4 yr.","mnwk","no","4","Female","Logit","weekdaySaturday",0.151986891058017,0.0552097833581731,2.75289779842104,0.00590703335678142,NA,NA,5454392801
"59","all","4 yr.","mnwk","no","5","Female","Logit","(Intercept)",-12.7267135241722,0.056402067800527,-225.642676243392,0,NA,NA,5454392801
"59.1","all","4 yr.","mnwk","no","5","Female","Logit","policyTRUE",-0.768793536399688,0.0188049425332501,-40.8825251680689,0,-0.17390533030212,-3.39964307388471,5454392801
"59.2","all","4 yr.","mnwk","no","5","Female","Logit","age_grp20-24",0.153958307109276,0.0426719902871899,3.6079476507449,0.000308628740442708,0.133409198042205,0.904297649079701,5454392801
"59.3","all","4 yr.","mnwk","no","5","Female","Logit","age_grp25-34",-0.35886852310959,0.0410084652970231,-8.75108396547678,2.11313068419302e-18,-0.222031059116961,-1.63830550685077,5454392801
"59.4","all","4 yr.","mnwk","no","5","Female","Logit","age_grp35-44",-0.72602031971904,0.0420924728545508,-17.2482220806504,1.15396022496937e-66,-0.370324384497537,-2.80450443486114,5454392801
"59.5","all","4 yr.","mnwk","no","5","Female","Logit","age_grp45-54",-1.15058319596806,0.0441721365154803,-26.0477143903788,1.42800235548328e-149,-0.439085115425213,-3.7139562759618,5454392801
"59.6","all","4 yr.","mnwk","no","5","Female","Logit","age_grp55-64",-1.54080625099113,0.0516569514051687,-29.8276651849989,1.71076290745043e-195,-0.451715849231005,-4.26950678465074,5454392801
"59.7","all","4 yr.","mnwk","no","5","Female","Logit","age_grp65-199",-2.26109478458771,0.0747849487746821,-30.2346236994841,8.31032326652654e-201,-0.458698276689028,-4.86705592533147,5454392801
"59.8","all","4 yr.","mnwk","no","5","Female","Logit","curr_pts_grp1-3",1.7121825849052,0.021485594747069,79.6897923963109,0,NA,NA,5454392801
"59.9","all","4 yr.","mnwk","no","5","Female","Logit","curr_pts_grp4-6",2.44681486568907,0.0283494019495094,86.3092233849194,0,NA,NA,5454392801
"59.10","all","4 yr.","mnwk","no","5","Female","Logit","curr_pts_grp7-9",2.94857868734832,0.0393889996421056,74.8579226215326,0,NA,NA,5454392801
"59.11","all","4 yr.","mnwk","no","5","Female","Logit","curr_pts_grp10-150",3.49857788260264,0.0451766891207499,77.4421045608612,0,NA,NA,5454392801
"59.12","all","4 yr.","mnwk","no","5","Female","Logit","month02",0.197483235108691,0.050873087934435,3.88188024605872,0.000103651920682403,NA,NA,5454392801
"59.13","all","4 yr.","mnwk","no","5","Female","Logit","month03",0.260185704786963,0.0490564959513378,5.3037971779529,1.13418324207136e-07,NA,NA,5454392801
"59.14","all","4 yr.","mnwk","no","5","Female","Logit","month04",0.444808609980198,0.0482277019139265,9.2230936231227,2.8864960398436e-20,NA,NA,5454392801
"59.15","all","4 yr.","mnwk","no","5","Female","Logit","month05",0.512864973736736,0.0472559681968404,10.8529143155092,1.93166249877771e-27,NA,NA,5454392801
"59.16","all","4 yr.","mnwk","no","5","Female","Logit","month06",0.510276876203128,0.0475090152785359,10.7406325559786,6.55934124619055e-27,NA,NA,5454392801
"59.17","all","4 yr.","mnwk","no","5","Female","Logit","month07",0.558598421487047,0.0467127973137854,11.9581453821906,5.88618839076952e-33,NA,NA,5454392801
"59.18","all","4 yr.","mnwk","no","5","Female","Logit","month08",0.475960970949368,0.0474224480517648,10.0366174776516,1.05220542224302e-23,NA,NA,5454392801
"59.19","all","4 yr.","mnwk","no","5","Female","Logit","month09",0.669350025418696,0.0459458908559802,14.5682239031301,4.47371432262524e-48,NA,NA,5454392801
"59.20","all","4 yr.","mnwk","no","5","Female","Logit","month10",0.618388490076141,0.0460515680073849,13.4281744755569,4.13479006638204e-41,NA,NA,5454392801
"59.21","all","4 yr.","mnwk","no","5","Female","Logit","month11",0.529762011730556,0.0470155064131382,11.2678146455638,1.89207783734342e-29,NA,NA,5454392801
"59.22","all","4 yr.","mnwk","no","5","Female","Logit","month12",-0.401822796830938,0.0584393394234921,-6.87589560037718,6.16016033119007e-12,NA,NA,5454392801
"59.23","all","4 yr.","mnwk","no","5","Female","Logit","weekdayMonday",-0.0989973714938437,0.0320007969546055,-3.09359081382491,0.00197750020658623,NA,NA,5454392801
"59.24","all","4 yr.","mnwk","no","5","Female","Logit","weekdayTuesday",-0.223867505289566,0.0331199943470224,-6.75928573368531,1.3867367273429e-11,NA,NA,5454392801
"59.25","all","4 yr.","mnwk","no","5","Female","Logit","weekdayWednesday",-0.164943024967878,0.0325914758691871,-5.06092530543606,4.17226657144767e-07,NA,NA,5454392801
"59.26","all","4 yr.","mnwk","no","5","Female","Logit","weekdayThursday",-0.228737931203784,0.0331823001711791,-6.89337176819517,5.44852346386305e-12,NA,NA,5454392801
"59.27","all","4 yr.","mnwk","no","5","Female","Logit","weekdayFriday",-0.146454213382944,0.0324528686684996,-4.51282796842856,6.396890716022e-06,NA,NA,5454392801
"59.28","all","4 yr.","mnwk","no","5","Female","Logit","weekdaySaturday",-0.0819343705052544,0.031876672472486,-2.57035518923674,0.0101594291436792,NA,NA,5454392801
"61","all","4 yr.","mnwk","no","7","Female","Logit","(Intercept)",-14.5715879222469,0.186820433813467,-77.9978272440799,0,NA,NA,5454392801
"61.1","all","4 yr.","mnwk","no","7","Female","Logit","policyTRUE",-0.972922478174327,0.0700279242295666,-13.8933502438952,6.95066046732948e-44,-0.0166825668911789,-0.687280021064861,5454392801
"61.2","all","4 yr.","mnwk","no","7","Female","Logit","age_grp20-24",-0.0731882531936987,0.116951065455493,-0.625802363652269,0.53144458130649,-0.00932676440387397,-0.0838986005316417,5454392801
"61.3","all","4 yr.","mnwk","no","7","Female","Logit","age_grp25-34",-1.08792998293833,0.118291910741075,-9.19699391211676,3.6810331138287e-20,-0.0785541503091296,-0.788283590704701,5454392801
